x,y
38.675903,9.970188
38.719901,9.994505
38.763883,10.018850
38.807850,10.043222
38.851802,10.067622
38.895739,10.092050
38.939660,10.116505
38.983566,10.140988
39.027456,10.165498
39.071331,10.190036
39.115191,10.214601
39.159035,10.239195
39.202864,10.263815
39.246677,10.288463
39.290474,10.313139
39.334257,10.337842
39.378023,10.362573
39.421774,10.387331
39.465510,10.412116
39.509230,10.436930
39.552934,10.461770
39.596623,10.486638
39.640296,10.511534
39.683953,10.536457
39.727595,10.561407
39.771221,10.586385
39.814832,10.611390
39.858426,10.636423
39.902005,10.661483
39.945568,10.686570
39.989116,10.711685
40.032647,10.736827
40.076163,10.761996
40.119663,10.787193
40.163147,10.812417
40.206615,10.837669
40.250068,10.862947
40.293504,10.888253
40.336925,10.913587
40.380329,10.938947
40.423718,10.964335
40.467091,10.989750
40.510448,11.015193
40.553788,11.040662
40.597113,11.066159
40.640422,11.091683
40.683715,11.117235
40.726991,11.142813
40.770252,11.168419
40.813496,11.194052
40.856724,11.219712
40.899937,11.245399
40.943133,11.271113
40.986313,11.296855
41.029476,11.322623
41.072624,11.348419
41.115755,11.374242
41.158870,11.400092
41.201969,11.425969
41.245051,11.451873
41.288117,11.477804
41.331167,11.503762
41.374201,11.529747
41.417218,11.555760
41.460219,11.581799
41.503204,11.607865
41.546172,11.633959
41.589124,11.660079
41.632059,11.686226
41.674978,11.712401
41.717880,11.738602
41.760766,11.764830
41.803636,11.791085
41.846489,11.817367
41.889325,11.843676
41.932145,11.870012
41.974948,11.896375
42.017735,11.922765
42.060505,11.949181
42.103259,11.975625
42.145996,12.002095
42.188716,12.028592
42.231420,12.055116
42.274107,12.081667
42.316777,12.108245
42.359430,12.134849
42.402067,12.161481
42.444687,12.188139
42.487291,12.214824
42.529877,12.241535
42.572447,12.268274
42.615000,12.295039
42.657536,12.321831
42.700055,12.348649
42.742558,12.375494
42.785043,12.402366
42.827512,12.429265
42.869964,12.456190
