step,x,y,v,delta,cross_err
468,-68.126206,121.663494,15.0000,0.033847,0.143717
469,-68.514415,121.021782,15.0000,0.033840,0.143812
470,-68.896570,120.376447,15.0000,0.033834,0.143919
471,-69.272641,119.727547,15.0000,0.033829,0.144034
472,-69.642594,119.075140,15.0000,0.033824,0.144156
473,-70.006397,118.419284,15.0000,0.033821,0.144285
474,-70.364021,117.760038,15.0000,0.031491,0.144402
475,-70.715432,117.097460,15.0000,0.034360,0.144540
476,-71.061033,116.431832,15.0000,0.034052,0.144197
477,-71.400262,115.762935,15.0000,0.034035,0.143970
478,-71.733147,115.090858,15.0000,0.033999,0.143797
479,-72.059660,114.415662,15.0000,0.033970,0.143674
480,-72.379780,113.737412,15.0000,0.033945,0.143593
481,-72.693483,113.056170,15.0000,0.033923,0.143547
482,-73.000747,112.372000,15.0000,0.033905,0.143532
483,-73.301547,111.684963,15.0000,0.033890,0.143544
484,-73.595861,110.995123,15.0000,0.033876,0.143578
485,-73.883665,110.302542,15.0000,0.033865,0.143631
486,-74.164938,109.607282,15.0000,0.033855,0.143701
487,-74.439655,108.909407,15.0000,0.033847,0.143784
488,-74.707794,108.208977,15.0000,0.033840,0.143880
489,-74.969334,107.506057,15.0000,0.033834,0.143986
490,-75.224252,106.800708,15.0000,0.033829,0.144101
491,-75.472527,106.092994,15.0000,0.033825,0.144224
492,-75.714139,105.382977,15.0000,0.031494,0.144337
493,-75.949066,104.670721,15.0000,0.034363,0.144469
494,-76.177752,103.956436,15.0000,0.034055,0.144122
495,-76.399606,103.240000,15.0000,0.034037,0.143892
496,-76.614670,102.521497,15.0000,0.034001,0.143716
497,-76.822930,101.800991,15.0000,0.033971,0.143590
498,-77.024372,101.078550,15.0000,0.033946,0.143507
499,-77.218986,100.354240,15.0000,0.033925,0.143460
500,-77.406758,99.628126,15.0000,0.033906,0.143443
501,-77.587678,98.900274,15.0000,0.033890,0.143453
502,-77.761731,98.170750,15.0000,0.033877,0.143486
503,-77.928906,97.439619,15.0000,0.033866,0.143538
504,-78.089192,96.706947,15.0000,0.033856,0.143607
505,-78.242575,95.972799,15.0000,0.033847,0.143690
506,-78.389045,95.237240,15.0000,0.033840,0.143785
507,-78.528590,94.500336,15.0000,0.033834,0.143891
508,-78.661200,93.762153,15.0000,0.033829,0.144006
